	PlotID	POINT_X	POINT_Y
1	5636_4_A	3696825.023	5580568.146
2	5636_4_F	3700232.5	5578926.065
3	5636_4_G	3700131.311	5580679.993
4	5837_4_A	3711584.144	5560555.71
5	5837_4_F	3709964.089	5557350.679
6	5837_4_G	3712800.185	5557018.502
7	5933_4_A	3664440.109	5544108.089
8	5933_4_F	3665095.529	5542931.223
9	5933_4_U	3665735.241	5546035.651
10	6031_4_F	3639222.143	5532908.286
11	6031_4_G	3640680.912	5535165.992
12	6031_4_U	3640815.098	5534897.283
13	6032_4_A	3649942.847	5534530.611
14	6032_4_F	3652966.745	5532754.251
15	6032_4_G	3651460.248	5532538.977
16	6122_4_A	3534074.749	5521276.931
17	6122_4_F	3532146.655	5520331.562
18	6122_4_G	3532591.036	5522671.381
19	6137_4_A	3714090.351	5523502.616
20	6137_4_F	3713292.698	5525198.667
21	6137_4_G	3713007.676	5526762.242
22	6231_4_A	3641968.596	5513216.619
23	6231_4_F	3643150.908	5512586.362
24	6231_4_G	3643907.001	5510022.221
25	6533_4_F	3668433.135	5477482.135
26	6533_4_G	3665985.085	5480910.068
27	6533_4_U	3666850.564	5477502.228
28	6938_4_A	3727708.668	5438832.559
29	6938_4_G	3727315.527	5438832.011
30	6938_4_U	3726630	5434285.509
31	7036_4_A	3705997.369	5426857.545
32	7036_4_F	3704080.38	5426614.302
33	7036_4_G	3701667.25	5423968.876
34	7143_4_F	3788941.052	5418840.311
35	7143_4_G	3790982.063	5415712.235
36	7143_4_U	3791188.642	5418996.434
37	7837_4_A	3719976.51	5334095.938
38	7837_4_F	3720282.483	5335756.666
39	7837_4_U	3721707.499	5333089.328
40	8343_4_F	3796057.605	5282797.139
41	8343_4_G	3798803.575	5284435.484
